"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F9A0","2019-07-23 00:00:00","425.000","0.000","0.100","23.400","0.860","961.100","-99.000","0.500","-99.000","-99.000","-99.000","30.900","","23.200",""
"C0A9F0","2019-07-23 00:00:00","35.000","0.000","0.000","25.900","1.000","1005.500","-99.000","35.500","-99.000","-99.000","-99.000","34.000","","25.400",""
"C0K490","2019-07-23 00:00:00","91.000","108.000","0.300","24.900","0.940","998.000","-99.000","5.500","-99.000","-99.000","-99.000","31.400","","24.400",""
"C0V820","2019-07-23 00:00:00","441.000","41.000","0.800","22.600","0.960","962.100","-99.000","19.500","-99.000","-99.000","-99.000","31.200","","21.600",""
"C0S810","2019-07-23 00:00:00","65.000","303.000","1.000","24.800","0.900","1004.500","-99.000","11.500","-99.000","-99.000","-99.000","32.000","","23.400",""
"C0R580","2019-07-23 00:00:00","10.000","55.000","0.800","26.700","1.000","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","25.200",""
"C0Z330","2019-07-23 00:00:00","488.000","177.000","0.800","23.500","0.800","956.900","-99.000","1.500","-99.000","-99.000","-99.000","32.600","","22.300",""
"C0E590","2019-07-23 00:00:00","40.000","118.000","1.200","23.800","0.990","1002.900","-99.000","20.000","-99.000","-99.000","-99.000","32.300","","23.800",""
"C0D540","2019-07-23 00:00:00","227.000","0.000","0.000","22.200","0.970","984.200","-99.000","43.500","-99.000","-99.000","-99.000","34.400","","22.200",""
"C0K420","2019-07-23 00:00:00","42.000","176.000","0.400","26.800","0.840","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","25.800",""
"C0Z180","2019-07-23 00:00:00","34.000","272.000","0.300","26.800","0.820","1005.200","-99.000","0.500","-99.000","-99.000","-99.000","31.700","","25.900",""
"C0AD10","2019-07-23 00:00:00","27.000","104.000","0.500","25.700","0.870","1005.300","-99.000","6.000","-99.000","-99.000","-99.000","32.400","","25.700",""
"C0M720","2019-07-23 00:00:00","225.000","103.000","1.100","24.500","0.850","983.300","-99.000","11.500","-99.000","-99.000","-99.000","30.700","","23.400",""
"C0V450","2019-07-23 00:00:00","51.000","199.000","1.200","27.300","0.990","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","25.000",""
"C0R280","2019-07-23 00:00:00","242.000","0.000","0.000","23.700","-99.000","981.700","-99.000","79.500","-99.000","-99.000","-99.000","28.800","","22.400",""
"C0E610","2019-07-23 00:00:00","850.000","0.000","0.000","21.000","0.790","917.100","-99.000","65.500","-99.000","-99.000","-99.000","28.400","","19.200",""
"C0V610","2019-07-23 00:00:00","22.000","83.000","0.500","27.500","-99.000","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","30.100","","25.900",""
"C0Z310","2019-07-23 00:00:00","59.000","335.000","0.400","25.500","0.990","1002.800","-99.000","0.500","-99.000","-99.000","-99.000","30.300","","25.200",""
"C0S700","2019-07-23 00:00:00","507.000","218.000","1.100","22.500","0.880","954.700","-99.000","63.500","-99.000","-99.000","-99.000","29.800","","20.500",""
"C0T9G0","2019-07-23 00:00:00","605.000","1.000","0.700","23.600","0.900","944.600","-99.000","13.500","-99.000","-99.000","-99.000","30.400","","21.200",""
